"index_yr","abm"
1928,1.54028438069217
1929,1.1909399543379
1930,1.40282742525546
1931,1.03820331050228
1932,1.17737317850638
1933,2.23880690793351
1934,0.943145205479452
1935,1.07441066666667
1936,1.90391051912568
1937,1.15068367579909
1938,1.09963550228311
1939,0.994384474885845
1940,1.27214664889104
1941,0.89379204491161
1942,0.962766754617414
1943,1.14503109211038
1944,1.0206468579235
1945,1.1817209104187
1946,1.18948287671233
1947,1.19156598173516
1948,1.37578198998179
1949,1.11126678082192
1950,0.997792922374429
1951,1.18259292237443
1952,1.06088467668488
1953,1.18540159817352
1954,1.09587180365297
1955,1.11558162100457
1956,1.6479412568306
1957,1.44948196347032
1958,1.32708378995434
1959,0.969588127853881
1960,1.41247893897996
1961,1.26724420126085
1962,1.89498777841234
1963,1.11859303652968
1964,1.4336912568306
1965,1.19128869863014
1966,1.0395955955956
1967,1.13673926940639
1968,1.21105566939891
1969,1.1819497716895
1970,1.05986392694064
1971,1.19568835616438
1972,1.1240418885339
1973,1.19638778538813
1974,1.09198173515982
1975,0.923319513173733
1976,0.936107565560455
1977,1.37101837899543
1978,1.58175239726027
1979,0.997364155251142
1980,0.94800147996357
1981,1.16586792237443
1982,1.45207636986301
1983,1.08073630136986
1984,0.96405954007286
1985,1.16795194063927
1986,1.24635936073059
1987,1.25021689497717
1988,1.37395275500911
1989,1.04678139269406
1990,1.07001152968037
1991,1.21114668949772
1992,1.26494228142076
1993,1.08864543378995
1994,1.24075627853881
1995,0.994647260273973
1996,1.06236828324226
1997,1.19789726027397
1998,1.47644269406393
1999,1.31360388127854
2000,1.23071015482696
2001,1.03561221461187
2002,1.02447762557078
2003,1.93037682648402
2004,1.07447609289617
2005,0.985970091324201
2006,1.537325
2007,0.999012671232877
2008,1.2970108151184
2009,1.79936678082192
2010,1.19283207762557
2011,1.76060365296804
2012,1.51822233606557
2013,1.14883915525114
2014,0.988306392694064
2015,1.46093881278539
