2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150,2160,2170,2180,2190,2200
0,147.28,303.19,510.77,735.45,1018.8,1339,1703.6,2135.1,2611.4,3124.5,3225.8,3736.7,4325.2,4946.8,5518.7,6129.7,6812.1,7493.9,8154,8913.6
0,123.19,250.41,427.63,629.48,887.97,1182.9,1517.2,1924.8,2374.3,2834.9,3234.3,3795.5,4408.1,5050.4,5679.6,6357.1,7103.6,7861.3,8611.7,9464.3
0,123.7,251.43,429.16,631.52,890.52,1186,1520.8,1928.9,2378.8,2840,3239.9,3801.6,4414.7,5057.6,5687.2,6365.2,7112.2,7870.5,8621.4,9474.5
0,124.04,252.12,430.2,632.9,892.25,1188.1,1523.2,1931.7,2382,2843.5,3243.8,3805.8,4419.3,5062.4,5692.4,6370.8,7118.1,7876.8,8628,9481.5
0,124.32,252.68,431.03,634.01,893.64,1189.7,1525.1,1933.9,2384.5,2846.2,3246.8,3809.1,4422.9,5066.3,5696.6,6375.2,7122.8,7881.7,8633.3,9487
0,124.56,253.16,431.75,634.97,894.84,1191.2,1526.8,1935.8,2386.6,2848.6,3249.4,3812,4426,5069.7,5700.2,6379.1,7126.9,7886.1,8637.8,9491.8
0,124.78,253.59,432.4,635.84,895.92,1192.5,1528.3,1937.5,2388.6,2850.8,3251.8,3814.6,4428.8,5072.7,5703.4,6382.5,7130.6,7890,8642,9496.1
0,124.98,254,433.01,636.65,896.94,1193.7,1529.8,1939.2,2390.4,2852.8,3254.1,3817,4431.4,5075.6,5706.5,6385.8,7134.1,7893.6,8645.8,9500.2
0,125.18,254.39,433.6,637.43,897.91,1194.8,1531.1,1940.7,2392.2,2854.8,3256.2,3819.4,4434,5078.3,5709.4,6388.9,7137.4,7897.1,8649.5,9504.1
0,125.37,254.77,434.17,638.2,898.87,1196,1532.5,1942.2,2393.9,2856.7,3258.3,3821.7,4436.5,5081,5712.3,6392,7140.6,7900.6,8653.2,9507.9
